CustomerID,Age,Gender,Location,TenureMonths,MonthlyCharges,TotalCharges,ContractType,InternetService,TechSupport,OnlineBackup,DeviceProtection,SatisfactionScore,SupportTickets,Churn
1,52,F,Central,17,36.64,622.93,1 year,DSL,No,No,No,2,1,0
2,42,M,Central,11,78.57,864.28,2 year,No,No,No,No,1,2,1
3,54,F,Central,26,78.89,2051.26,1 year,No,No,Yes,No,5,2,0
4,67,F,North,14,65.98,923.72,Month-to-month,DSL,Yes,Yes,No,5,3,0
5,41,F,North,12,80.31,963.72,Month-to-month,Fiber optic,No,No,No,1,7,1
6,41,M,West,12,67.62,811.48,2 year,Fiber optic,Yes,Yes,No,5,5,0
7,68,F,Central,42,97.33,4087.66,2 year,No,Yes,No,No,1,2,0
8,56,F,South,11,39.07,429.79,Month-to-month,No,Yes,No,No,1,1,0
9,37,F,West,9,69.04,621.32,Month-to-month,Fiber optic,No,No,Yes,4,2,1
10,53,M,Central,9,83.07,747.6,1 year,DSL,Yes,No,No,2,1,1
11,38,M,North,5,94.84,474.21,2 year,DSL,No,No,No,3,1,0
12,38,F,South,40,80.85,3234.06,1 year,DSL,No,No,No,3,1,0
13,48,M,West,4,44.24,176.96,Month-to-month,No,Yes,Yes,Yes,2,3,0
14,18,F,South,48,31.9,1531.15,2 year,Fiber optic,No,No,Yes,5,3,0
15,19,M,Central,7,61.6,431.22,Month-to-month,No,No,Yes,No,1,0,1
16,36,M,East,46,72.23,3322.78,Month-to-month,Fiber optic,Yes,No,No,3,2,0
17,29,F,South,32,83.89,2684.63,Month-to-month,DSL,Yes,Yes,No,4,3,0
18,49,F,South,18,43.09,775.63,Month-to-month,DSL,No,No,No,5,3,0
19,31,F,North,23,77.21,1775.94,2 year,DSL,No,No,Yes,4,2,0
20,23,M,Central,8,20.0,160.0,1 year,DSL,Yes,Yes,Yes,3,2,0
21,66,F,South,18,50.21,903.78,2 year,DSL,No,No,No,2,1,0
22,41,M,Central,7,82.21,575.44,Month-to-month,DSL,No,No,Yes,2,4,1
23,46,M,North,11,41.18,452.93,2 year,DSL,No,No,No,4,1,0
